Network,IP,Compliance ,fShared,Ir90,Nr90,Ir180,Nr180,d90,d180,Is90,Ns90,Is180,Ns180,IShared90,NShared90,IShared180,NShared180,pIr90,pIr180,pIs90,pIs180,pIShared90,pIShared180,ORs90,RRs90
A,Const,0.8,0%,16.5815547,787.287832,44.98587,802.708006,5.70990188,15.5267726,51.5216142,1081.07335,103.691711,1085.38176,0,0,0,0,21.1,56,47.7,95.5,0,0,0.62,0.64
A,Const,0.8,0%,30.0350925,791.564893,55.3263044,808.839339,9.36573578,19.1950684,59.7823618,1081.25127,109.543404,1086.01536,0,0,0,0,37.9,68.4,55.3,100.9,0,0,0.81,0.82
A,Const,0.8,0%,31.5684642,789.209915,68.1134181,813.924715,7.76773615,23.7993755,60.5163794,1081.0855,121.4029,1086.05696,0,0,0,0,40,83.7,56,111.8,0,0,1.09,1.08
A,Const,0.8,0%,27.3910339,790.584488,53.4458002,807.032869,8.70438017,18.0812716,58.1629313,1081.16614,106.563722,1085.79933,0,0,0,0,34.6,66.2,53.8,98.1,0,0,0,0
A,Const,0.8,0%,25.4135004,788.190411,56.8593284,808.111989,6.56439765,19.416157,56.1274778,1081.08762,110.69843,1085.61201,0,0,0,0,32.2,70.4,51.9,102,0,0,0.57,0.58
A,Const,0.8,0%,27.4711743,788.35097,59.2866798,809.45241,7.0273848,20.591327,58.6940691,1081.03352,111.911529,1085.8169,0,0,0,0,34.8,73.2,54.3,103.1,0,0,0.83,0.84
A,Const,0.8,0%,33.8812348,791.614385,62.6674293,812.721801,9.49381236,21.9003608,60.9506133,1081.12701,112.412147,1085.93569,0,0,0,0,42.8,77.1,56.4,103.5,0,0,1.08,1.08
A,Const,0.8,0%,20.8700944,788.058187,58.4345472,807.884689,6.47579355,19.5745981,53.7750941,1081.09685,110.724013,1085.59752,0,0,0,0,26.5,72.3,49.7,102,0,0,0.29,0.3
A,Const,0.8,0%,26.610911,789.448869,47.199919,804.11788,7.88308312,15.9264032,55.579427,1081.07502,100.896794,1085.34273,0,0,0,0,33.7,58.7,51.4,93,0,0,0.58,0.59
A,Const,0.8,0%,19.159256,786.200945,38.2026615,800.452642,5.10351275,14.0112029,51.3767308,1081.0016,99.6529197,1085.17116,0,0,0,0,24.4,47.7,47.5,91.8,0,0,0.95,0.96
A,Const,0.8,0%,25.8679279,789.942054,60.9992611,809.73937,8.1339476,20.5768479,54.340599,1081.09799,109.79421,1085.66461,0,0,0,0,32.7,75.3,50.3,101.1,0,0,1.55,1.51
A,Const,0.8,0%,32.7322532,790.254608,57.6377096,809.201798,8.53551138,19.6268659,59.4026763,1081.14481,108.61489,1085.81235,0,0,0,0,41.4,71.2,54.9,100,0,0,0.82,0.83
A,Const,0.8,0%,20.2918363,786.859864,47.831573,804.62894,5.70773737,17.2026279,51.777864,1081.0218,105.685956,1085.36049,0,0,0,0,25.8,59.4,47.9,97.4,0,0,1.96,1.87
A,Const,0.8,0%,26.2189826,788.360455,58.0151231,808.495045,6.86548828,19.4481673,56.9965036,1081.05805,109.332025,1085.61312,0,0,0,0,33.3,71.8,52.7,100.7,0,0,1.16,1.15
A,Const,0.8,0%,18.1549726,786.416647,43.9402017,801.400675,5.15559934,14.8598352,51.6440232,1081.02403,101.287728,1085.21482,0,0,0,0,23.1,54.8,47.8,93.3,0,0,0.62,0.63
A,Const,0.8,0%,33.2055529,791.657879,60.3214731,810.975116,9.6451614,20.5992606,60.8675152,1081.18261,109.622106,1085.97253,0,0,0,0,41.9,74.4,56.3,100.9,0,0,0.8,0.81
A,Const,0.8,0%,29.9565304,790.82237,54.4616711,808.096837,8.9248027,18.9407301,55.3222993,1081.03768,105.363509,1085.53615,0,0,0,0,37.9,67.4,51.2,97.1,0,0,0.58,0.59
A,Const,0.8,0%,27.1743259,790.287775,63.6627219,809.733577,8.46800217,20.4128254,56.6257167,1081.1026,110.967175,1085.73359,0,0,0,0,34.4,78.6,52.4,102.2,0,0,1.48,1.45
A,Const,0.8,0%,26.4304093,790.109984,57.0784922,808.394203,8.00318075,19.3690238,56.1350393,1081.07197,107.390832,1085.65141,0,0,0,0,33.5,70.6,51.9,98.9,0,0,0,0
A,Const,0.8,0%,23.0383439,788.565425,52.1624904,806.900399,6.9085093,18.7547144,57.2490959,1081.19578,108.317928,1085.69857,0,0,0,0,29.2,64.6,52.9,99.8,0,0,0.85,0.86
A,Const,0.8,0%,21.4581775,787.064032,55.2825559,806.682847,5.85300734,18.722115,51.8343709,1081.02749,105.799214,1085.42176,0,0,0,0,27.3,68.5,47.9,97.5,0,0,2.36,2.21
A,Const,0.8,0%,19.8523389,787.30939,49.8500236,804.838588,5.8284175,17.0798614,53.9491742,1081.08125,107.642853,1085.53233,0,0,0,0,25.2,61.9,49.9,99.2,0,0,1.54,1.5
A,Const,0.8,0%,23.5705319,788.072393,49.5791044,805.256357,6.47794798,16.9384235,55.1024163,1081.03434,103.78745,1085.42279,0,0,0,0,29.9,61.6,51,95.6,0,0,1.2,1.19
A,Const,0.8,0%,23.5014655,788.427509,48.7052519,804.092469,6.89769556,16.5618799,52.4593155,1081.01572,103.592395,1085.31642,0,0,0,0,29.8,60.6,48.5,95.4,0,0,0.61,0.62
A,Const,0.8,0%,20.4998279,787.734337,47.58162,804.136454,6.38145643,16.718034,52.0512695,1081.01379,103.665283,1085.30137,0,0,0,0,26,59.2,48.2,95.5,0,0,0.62,0.63
A,Const,0.8,0%,28.678994,790.314408,53.5112859,807.95027,8.5845515,19.0705244,55.2666102,1081.06576,105.022377,1085.48774,0,0,0,0,36.3,66.2,51.1,96.8,0,0,0.29,0.3
A,Const,0.8,0%,22.522157,788.535787,44.6824538,803.465718,7.06681825,15.8929419,56.2125708,1081.13794,104.758113,1085.70444,0,0,0,0,28.6,55.6,52,96.5,0,0,1.16,1.15
A,Const,0.8,0%,30.1153192,789.635917,55.3295899,806.882612,7.89271151,18.1972537,57.6103168,1081.09724,108.235158,1085.71642,0,0,0,0,38.1,68.6,53.3,99.7,0,0,0.85,0.85
A,Const,0.8,0%,24.6537734,789.351963,46.756882,804.299309,7.64122841,16.1684894,56.8337929,1081.17235,107.009539,1085.79333,0,0,0,0,31.2,58.1,52.6,98.6,0,0,0.86,0.86
A,Const,0.8,0%,30.2383346,789.698237,58.4926524,809.647156,8.01502422,20.264774,60.1131994,1081.062,111.899372,1085.69197,0,0,0,0,38.3,72.2,55.6,103.1,0,0,1.08,1.07
A,Const,0.8,0%,28.3095345,789.562176,45.8895669,804.614219,7.95039667,16.5041529,58.185224,1081.13541,103.052607,1085.55267,0,0,0,0,35.9,57,53.8,94.9,0,0,0.84,0.84
A,Const,0.8,0%,26.3737833,788.994158,51.1312981,806.926593,7.44004863,18.0821136,55.2733254,1081.05275,104.745423,1085.60117,0,0,0,0,33.4,63.4,51.1,96.5,0,0,0.29,0.3
A,Const,0.8,0%,35.3802492,791.73517,57.4758375,810.291027,9.49571162,20.1704922,60.3734028,1081.22839,108.023423,1085.8638,0,0,0,0,44.7,70.9,55.8,99.5,0,0,0.81,0.81
A,Const,0.8,0%,24.6267522,789.087736,53.3862769,807.794976,7.4773388,18.9263273,58.0840417,1081.11937,105.512481,1085.64231,0,0,0,0,31.2,66.1,53.7,97.2,0,0,0.84,0.85
A,Const,0.8,0%,25.596559,788.947055,53.8030285,806.161396,7.39185918,17.9794292,56.3605521,1081.10845,109.350513,1085.62468,0,0,0,0,32.4,66.7,52.1,100.7,0,0,0.57,0.58
A,Const,0.8,0%,26.239762,789.111917,61.1130294,810.190639,7.49502537,21.2244785,56.2795012,1081.07934,115.015782,1085.77805,0,0,0,0,33.3,75.4,52.1,105.9,0,0,1.49,1.46
