Network,IP,pShortage,Ir90,Nr90,Ir180,Nr180,d90,d180,Is90,Ns90,Is180,Ns180,pIr90,pIr180,pIs90,pIs180
A,Const,5%,32.15156389,791.5985507,59.7754866,812.434909,9.43384682,21.69668781,57.81351914,1022.121741,104.4373813,1026.685727,40.6,73.6,56.6,101.7
A,Const,5%,22.27678944,787.707332,56.2314113,807.0528489,6.208936892,19.19629348,52.88312085,1022.015727,105.7806818,1026.279841,28.3,69.7,51.7,103.1
A,Const,5%,23.14276633,789.2359736,49.74757642,803.867492,7.39129008,16.16558045,52.21845003,1022.03662,98.52049318,1026.241612,29.3,61.9,51.1,96
A,Const,5%,40.02649121,793.5911178,65.86487655,813.9039808,10.90346163,22.15260664,60.5873742,1022.229388,107.3840595,1026.840281,50.4,80.9,59.3,104.6
A,Const,5%,34.3720417,791.9805257,62.57579198,810.9074163,9.694224855,20.76201257,56.53784723,1022.107299,106.2182632,1026.446333,43.4,77.2,55.3,103.5
A,Const,5%,23.96182245,788.8497963,51.2888523,805.6187192,7.344439078,17.57220761,50.63044617,1022.059508,98.71477701,1026.174445,30.4,63.7,49.5,96.2
A,Const,5%,30.96956872,790.9214524,64.48626461,812.571092,8.776576988,22.25706993,56.97082556,1022.092918,109.6991041,1026.759676,39.2,79.4,55.7,106.8
A,Const,5%,26.83137379,789.8903528,44.58223077,804.9594236,8.061875983,16.31459196,52.69923053,1022.054556,96.66996803,1026.14814,34,55.4,51.6,94.2
A,Const,5%,25.08123518,788.8403807,54.02642541,808.0909835,7.121605943,19.35344844,50.07860995,1021.995502,100.1727337,1026.150473,31.8,66.9,49,97.6
A,Const,5%,24.85348085,788.8228225,49.19659024,805.7095878,7.388022252,17.5105742,50.17766438,1021.94508,98.10641328,1025.992268,31.5,61.1,49.1,95.6
A,Const,5%,38.40709343,793.1598702,60.75351796,811.460277,10.97308938,20.73857153,61.17069123,1022.16838,107.6157343,1026.724991,48.4,74.9,59.8,104.8
A,Const,5%,25.30604411,789.197819,47.20736449,803.5513396,7.642523547,15.84450413,51.64891787,1021.993865,97.30471611,1026.130406,32.1,58.7,50.5,94.8
A,Const,5%,20.21166387,786.7368585,49.41304413,803.5390311,5.456616543,16.22582327,50.39688315,1022.027486,100.6150547,1026.244583,25.7,61.5,49.3,98
A,Const,5%,24.29124861,787.6683286,52.22067605,806.451762,6.414690223,18.39362269,55.22870783,1022.048883,103.3886343,1026.549977,30.8,64.8,54,100.7
A,Const,5%,24.29171023,788.1709484,49.24938484,804.4383255,6.728143781,16.71562872,54.88563388,1022.058738,99.73575346,1026.374814,30.8,61.2,53.7,97.2
A,Const,5%,25.81375286,789.2349297,57.67039616,808.3250052,7.453890295,19.43750335,55.02586901,1022.042725,108.3648916,1026.55161,32.7,71.3,53.8,105.6
A,Const,5%,29.1265726,790.1934767,57.12021198,809.3008477,8.39509339,19.80141125,55.84538016,1022.09041,105.3844188,1026.644482,36.9,70.6,54.6,102.6
A,Const,5%,36.66291958,792.8710757,62.64616468,812.6024761,10.59733587,21.7876828,56.91580639,1022.119604,104.1294646,1026.572824,46.2,77.1,55.7,101.4
A,Const,5%,19.21897881,786.6192968,46.40913333,802.8151749,5.590860253,15.97104111,53.50674518,1022.00333,100.8551356,1026.13898,24.4,57.8,52.4,98.3
A,Const,5%,20.36091916,787.8923769,59.09365478,808.9844814,6.48001909,20.39453619,50.76489769,1022.020849,105.5655654,1026.359884,25.8,73,49.7,102.9
A,Const,5%,25.96557291,789.1232124,54.57322963,808.239828,7.431292487,19.55391948,51.7710469,1022.04348,100.4890013,1026.234758,32.9,67.5,50.7,97.9
