Model,Day,Case
Stochastic SD,161,0.900310987
Stochastic SD,162,0.89811921
Stochastic SD,163,0.90316289
Stochastic SD,164,0.887714127
Stochastic SD,165,0.863048825
Stochastic SD,166,0.850041248
Stochastic SD,167,0.852716832
Stochastic SD,168,0.844611224
Stochastic SD,169,0.846546827
Stochastic SD,170,0.849380332
Stochastic SD,171,0.83228445
Stochastic SD,172,0.813097013
Stochastic SD,173,0.802038728
Stochastic SD,174,0.792558052
Stochastic SD,175,0.781772046
Stochastic SD,176,0.787267984
Stochastic SD,177,0.789099216
Stochastic SD,178,0.783060317
Stochastic SD,179,0.759683215
Stochastic SD,180,0.753455252
